"ENTIDAD","CODIGO","ID_ESTRATO","UE","A111A","A121A","A800A","H001D","H010A","ID","CLAVE","CLAVE_UNICA"
16,"31-33",NA,37608,144845.463,106396.564,142078.797,322443.13,65263,296,300,"16300296"
16,"31-33",1,36655,12913.915,7480.214,12927.468,171717.75,25085,297,300,"16300297"
16,"31-33",2,776,6804.066,4290.875,6903.137,36533.548,12232,298,300,"16300298"
16,"31-33",3,138,22705.843,16982.296,23517.345,39130.832,12826,299,300,"16300299"
16,"31-33",4,39,102421.639,77643.179,98730.847,75061,15120,300,300,"16300300"
16,"311",NA,11089,40625.673,29732.544,41085.166,127771.058,29540,301,311,"16311301"
16,"311",1,10810,5443.71,3148.499,5453.327,64161.746,10964,302,311,"16311302"
16,"311",2,204,2212.02,1490.969,2259.278,10786.48,3364,303,311,"16311303"
16,"311",3,57,8428.085,6287.545,8876.762,15449.832,5576,304,311,"16311304"
16,"311",4,18,24541.858,18805.531,24495.799,37373,9636,305,311,"16311305"
16,"312",NA,607,12117.904,6064.175,12126.5,11638.708,2647,462,312,"16312462"
16,"312",99,607,12117.904,6064.175,12126.5,11638.708,2647,463,312,"16312463"
16,"313",NA,276,645.785,589.06,656.293,2454.68,591,492,313,"16313492"
16,"313",99,276,645.785,589.06,656.293,2454.68,591,493,313,"16313493"
16,"314",NA,2695,2300.905,1754.179,2351.636,13971.318,2730,528,314,"16314528"
16,"314",1,2668,166.837,84.517,167.512,6555.282,235,529,314,"16314529"
16,"314",2,16,84.924,53.266,86.05,730.036,202,530,314,"16314530"
16,"314",3,7,809.746,674.887,862.423,2966,743,531,314,"16314531"
16,"314",4,4,1239.398,941.509,1235.651,3720,1550,532,314,"16314532"
16,"315",NA,1786,810.559,473.605,843.581,9771.252,1899,565,315,"16315565"
16,"315",99,1786,810.559,473.605,843.581,9771.252,1899,566,315,"16315566"
16,"316",NA,1075,916.785,598.821,916.164,8485.64,2193,604,316,"16316604"
16,"316",99,1075,916.785,598.821,916.164,8485.64,2193,605,316,"16316605"
16,"321",NA,3840,2820.308,2160.643,2836.647,18572.796,3887,637,321,"16321637"
16,"321",99,3840,2820.308,2160.643,2836.647,18572.796,3887,638,321,"16321638"
16,"322",NA,126,4336.029,3024.68,4604.037,3960.524,584,683,322,"16322683"
16,"322",99,126,4336.029,3024.68,4604.037,3960.524,584,684,322,"16322684"
16,"323",NA,608,906.492,595.672,904.629,5290.562,1502,709,323,"16323709"
16,"323",99,608,906.492,595.672,904.629,5290.562,1502,710,323,"16323710"
16,"324",NA,1,NA,NA,NA,NA,NA,729,324,"16324729"
16,"324",99,1,NA,NA,NA,NA,NA,730,324,"16324730"
16,"325",NA,171,14889.371,11914.447,15436.87,11456.176,2573,737,325,"16325737"
16,"325",1,124,129.844,87.3,129.859,849.184,202,738,325,"16325738"
16,"325",2,31,749.431,468.956,751.215,1663.992,585,739,325,"16325739"
16,"325",3,12,3050.58,2123.351,3127.965,2519,809,740,325,"16325740"
16,"325",4,4,10959.516,9234.84,11427.831,6424,977,741,325,"16325741"
16,"326",NA,126,9102.791,6259.051,9417.442,12714.368,3736,816,326,"16326816"
16,"326",1,76,117.521,84.641,116.736,660.528,141,817,326,"16326817"
16,"326",2,21,251.208,171.16,253.743,1110.84,334,818,326,"16326818"
16,"326",3,24,3048.37,2301.161,3183.985,6314,2127,819,326,"16326819"
16,"326",4,5,5685.692,3702.089,5862.978,4629,1134,820,326,"16326820"
16,"327",NA,5537,2168.393,1390.953,2265.653,26178.214,2358,878,327,"16327878"
16,"327",1,5496,904.017,525.47,908.1,24191.398,1740,879,327,"16327879"
16,"327",2,38,564.901,440.15,580.035,1380.816,351,880,327,"16327880"
16,"327",3,3,699.475,425.333,777.518,606,267,881,327,"16327881"
16,"331",NA,32,46219.038,37811.865,41629.568,16906.024,448,954,331,"16331954"
16,"331",99,32,46219.038,37811.865,41629.568,16906.024,448,955,331,"16331955"
16,"332",NA,3674,2953.207,1636.929,2957.449,18062.542,3849,998,332,"16332998"
16,"332",99,3674,2953.207,1636.929,2957.449,18062.542,3849,999,332,"16332999"
16,"333",NA,65,970.297,577.405,944.621,2698.736,1048,1075,333,"163331075"
16,"333",1,44,52.428,29.029,50.373,325.224,96,1076,333,"163331076"
16,"333",2,17,274.565,155.163,285.866,977.512,386,1077,333,"163331077"
16,"333",3,4,643.304,393.213,608.382,1396,566,1078,333,"163331078"
16,"334",NA,5,NA,NA,NA,NA,NA,1141,334,"163341141"
16,"334",99,5,NA,NA,NA,NA,NA,1142,334,"163341142"
16,"335",NA,18,NA,NA,NA,NA,NA,1157,335,"163351157"
16,"335",99,18,NA,NA,NA,NA,NA,1158,335,"163351158"
16,"336",NA,51,108.013,56.422,100.525,580.776,165,1189,336,"163361189"
16,"336",99,51,108.013,56.422,100.525,580.776,165,1190,336,"163361190"
16,"337",NA,3366,1945.833,1124.206,1960.014,19718.106,3457,1228,337,"163371228"
16,"337",1,3290,1358.016,786.821,1361.354,15846.114,2083,1229,337,"163371229"
16,"337",2,71,372.337,201.866,372.828,2661.992,881,1230,337,"163371230"
16,"337",3,5,215.48,135.519,225.832,1210,493,1231,337,"163371231"
16,"339",NA,2460,730.006,392.711,734.858,11305.57,1698,1266,339,"163391266"
16,"339",99,2460,730.006,392.711,734.858,11305.57,1698,1267,339,"163391267"
